block,tile,species,size,count,date
C,4,balanus,adult,44,2020-07-09
C,5,balanus,adult,50,2020-07-09
C,6,balanus,adult,30,2020-07-09
C,7,balanus,adult,68,2020-07-09
C,8,balanus,adult,136,2020-07-09
C,9,balanus,adult,194,2020-07-09
C,10,balanus,adult,10,2020-07-09
C,11,balanus,adult,23,2020-07-09
C,12,balanus,adult,16,2020-07-09
C,13,balanus,adult,108,2020-07-09
C,14,balanus,adult,40,2020-07-09
C,15,balanus,adult,41,2020-07-09
C,16,balanus,adult,35,2020-07-09
C,1,balanus,recruit,0,2020-07-09
C,3,balanus,recruit,4,2020-07-09
C,4,balanus,recruit,3,2020-07-09
C,5,balanus,recruit,1,2020-07-09
C,6,balanus,recruit,1,2020-07-09
C,7,balanus,recruit,2,2020-07-09
C,8,balanus,recruit,11,2020-07-09
C,9,balanus,recruit,14,2020-07-09
C,10,balanus,recruit,2,2020-07-09
C,11,balanus,recruit,1,2020-07-09
C,12,balanus,recruit,1,2020-07-09
C,13,balanus,recruit,18,2020-07-09
C,14,balanus,recruit,0,2020-07-09
C,15,balanus,recruit,2,2020-07-09
C,16,balanus,recruit,2,2020-07-09
C,1,chthamalus,adult,5,2020-07-09
C,3,chthamalus,adult,6,2020-07-09
C,4,chthamalus,adult,12,2020-07-09
C,5,chthamalus,adult,6,2020-07-09
C,6,chthamalus,adult,3,2020-07-09
C,7,chthamalus,adult,17,2020-07-09
C,8,chthamalus,adult,3,2020-07-09
C,9,chthamalus,adult,17,2020-07-09
C,10,chthamalus,adult,3,2020-07-09
C,11,chthamalus,adult,10,2020-07-09
C,12,chthamalus,adult,7,2020-07-09
C,13,chthamalus,adult,5,2020-07-09
C,14,chthamalus,adult,13,2020-07-09
C,15,chthamalus,adult,19,2020-07-09
C,16,chthamalus,adult,4,2020-07-09
C,1,chthamalus,recruit,0,2020-07-09
C,3,chthamalus,recruit,3,2020-07-09
C,4,chthamalus,recruit,14,2020-07-09
C,5,chthamalus,recruit,3,2020-07-09
C,6,chthamalus,recruit,1,2020-07-09
C,7,chthamalus,recruit,4,2020-07-09
C,8,chthamalus,recruit,1,2020-07-09
C,9,chthamalus,recruit,4,2020-07-09
C,10,chthamalus,recruit,1,2020-07-09
C,11,chthamalus,recruit,1,2020-07-09
C,12,chthamalus,recruit,6,2020-07-09
C,13,chthamalus,recruit,2,2020-07-09
C,14,chthamalus,recruit,4,2020-07-09
C,15,chthamalus,recruit,16,2020-07-09
C,16,chthamalus,recruit,6,2020-07-09
D,1,balanus,adult,233,2020-07-09
D,2,balanus,adult,189,2020-07-09
D,4,balanus,adult,203,2020-07-09
D,5,balanus,adult,229,2020-07-09
D,6,balanus,adult,336,2020-07-09
D,7,balanus,adult,15,2020-07-09
D,8,balanus,adult,289,2020-07-09
D,9,balanus,adult,60,2020-07-09
D,10,balanus,adult,81,2020-07-09
D,11,balanus,adult,45,2020-07-09
D,12,balanus,adult,118,2020-07-09
D,13,balanus,adult,9,2020-07-09
D,14,balanus,adult,128,2020-07-09
D,15,balanus,adult,209,2020-07-09
D,16,balanus,adult,11,2020-07-09
D,1,balanus,recruit,4,2020-07-09
D,2,balanus,recruit,8,2020-07-09
D,4,balanus,recruit,0,2020-07-09
D,5,balanus,recruit,25,2020-07-09
D,6,balanus,recruit,4,2020-07-09
D,7,balanus,recruit,0,2020-07-09
D,8,balanus,recruit,1,2020-07-09
D,9,balanus,recruit,0,2020-07-09
D,10,balanus,recruit,4,2020-07-09
D,11,balanus,recruit,2,2020-07-09
D,12,balanus,recruit,6,2020-07-09
D,13,balanus,recruit,0,2020-07-09
D,14,balanus,recruit,6,2020-07-09
D,15,balanus,recruit,9,2020-07-09
D,16,balanus,recruit,0,2020-07-09
D,1,chthamalus,adult,31,2020-07-09
D,2,chthamalus,adult,32,2020-07-09
D,4,chthamalus,adult,16,2020-07-09
D,5,chthamalus,adult,6,2020-07-09
D,6,chthamalus,adult,15,2020-07-09
D,7,chthamalus,adult,17,2020-07-09
D,8,chthamalus,adult,5,2020-07-09
D,9,chthamalus,adult,4,2020-07-09
D,10,chthamalus,adult,22,2020-07-09
D,11,chthamalus,adult,5,2020-07-09
D,12,chthamalus,adult,50,2020-07-09
D,13,chthamalus,adult,0,2020-07-09
D,14,chthamalus,adult,12,2020-07-09
D,15,chthamalus,adult,11,2020-07-09
D,16,chthamalus,adult,12,2020-07-09
D,1,chthamalus,recruit,16,2020-07-09
D,2,chthamalus,recruit,40,2020-07-09
D,4,chthamalus,recruit,13,2020-07-09
D,5,chthamalus,recruit,6,2020-07-09
D,6,chthamalus,recruit,7,2020-07-09
D,7,chthamalus,recruit,3,2020-07-09
D,8,chthamalus,recruit,2,2020-07-09
D,9,chthamalus,recruit,6,2020-07-09
D,10,chthamalus,recruit,25,2020-07-09
D,11,chthamalus,recruit,1,2020-07-09
D,12,chthamalus,recruit,55,2020-07-09
D,13,chthamalus,recruit,1,2020-07-09
D,14,chthamalus,recruit,56,2020-07-09
D,15,chthamalus,recruit,18,2020-07-09
D,16,chthamalus,recruit,7,2020-07-09
E,4,balanus,adult,125,2020-07-09
E,6,balanus,adult,6,2020-07-09
E,7,balanus,adult,30,2020-07-09
E,8,balanus,adult,188,2020-07-09
E,9,balanus,adult,262,2020-07-09
E,10,balanus,adult,243,2020-07-09
E,11,balanus,adult,42,2020-07-09
E,12,balanus,adult,44,2020-07-09
E,13,balanus,adult,23,2020-07-09
E,14,balanus,adult,2,2020-07-09
E,15,balanus,adult,1,2020-07-09
E,16,balanus,adult,22,2020-07-09
E,4,balanus,recruit,8,2020-07-09
E,6,balanus,recruit,3,2020-07-09
E,7,balanus,recruit,5,2020-07-09
E,8,balanus,recruit,8,2020-07-09
E,9,balanus,recruit,10,2020-07-09
E,10,balanus,recruit,2,2020-07-09
E,11,balanus,recruit,6,2020-07-09
E,12,balanus,recruit,2,2020-07-09
E,13,balanus,recruit,1,2020-07-09
E,14,balanus,recruit,0,2020-07-09
E,15,balanus,recruit,5,2020-07-09
E,16,balanus,recruit,0,2020-07-09
E,4,chthamalus,adult,6,2020-07-09
E,6,chthamalus,adult,4,2020-07-09
E,7,chthamalus,adult,10,2020-07-09
E,8,chthamalus,adult,15,2020-07-09
E,9,chthamalus,adult,3,2020-07-09
E,10,chthamalus,adult,32,2020-07-09
E,11,chthamalus,adult,18,2020-07-09
E,12,chthamalus,adult,8,2020-07-09
E,13,chthamalus,adult,11,2020-07-09
E,14,chthamalus,adult,0,2020-07-09
E,15,chthamalus,adult,6,2020-07-09
E,16,chthamalus,adult,3,2020-07-09
E,4,chthamalus,recruit,9,2020-07-09
E,6,chthamalus,recruit,1,2020-07-09
E,7,chthamalus,recruit,7,2020-07-09
E,8,chthamalus,recruit,5,2020-07-09
E,9,chthamalus,recruit,4,2020-07-09
E,10,chthamalus,recruit,13,2020-07-09
E,11,chthamalus,recruit,6,2020-07-09
E,12,chthamalus,recruit,12,2020-07-09
E,13,chthamalus,recruit,16,2020-07-09
E,14,chthamalus,recruit,8,2020-07-09
E,15,chthamalus,recruit,3,2020-07-09
E,16,chthamalus,recruit,4,2020-07-09
F,1,balanus,adult,0,2020-07-09
F,2,balanus,adult,1,2020-07-09
F,3,balanus,adult,8,2020-07-09
F,4,balanus,adult,118,2020-07-09
F,5,balanus,adult,198,2020-07-09
F,6,balanus,adult,96,2020-07-09
F,7,balanus,adult,1,2020-07-09
F,8,balanus,adult,17,2020-07-09
F,10,balanus,adult,40,2020-07-09
F,11,balanus,adult,63,2020-07-09
F,12,balanus,adult,159,2020-07-09
F,13,balanus,adult,0,2020-07-09
F,15,balanus,adult,1,2020-07-09
F,16,balanus,adult,0,2020-07-09
F,1,balanus,recruit,2,2020-07-09
F,2,balanus,recruit,0,2020-07-09
F,3,balanus,recruit,0,2020-07-09
F,4,balanus,recruit,7,2020-07-09
F,5,balanus,recruit,3,2020-07-09
F,6,balanus,recruit,2,2020-07-09
F,7,balanus,recruit,0,2020-07-09
F,8,balanus,recruit,0,2020-07-09
F,10,balanus,recruit,6,2020-07-09
F,11,balanus,recruit,10,2020-07-09
F,12,balanus,recruit,8,2020-07-09
F,13,balanus,recruit,2,2020-07-09
F,15,balanus,recruit,5,2020-07-09
F,16,balanus,recruit,1,2020-07-09
F,1,chthamalus,adult,11,2020-07-09
F,2,chthamalus,adult,21,2020-07-09
F,3,chthamalus,adult,7,2020-07-09
F,4,chthamalus,adult,28,2020-07-09
F,5,chthamalus,adult,32,2020-07-09
F,6,chthamalus,adult,8,2020-07-09
F,7,chthamalus,adult,1,2020-07-09
F,8,chthamalus,adult,19,2020-07-09
F,10,chthamalus,adult,15,2020-07-09
F,11,chthamalus,adult,49,2020-07-09
F,12,chthamalus,adult,53,2020-07-09
F,13,chthamalus,adult,0,2020-07-09
F,15,chthamalus,adult,0,2020-07-09
F,16,chthamalus,adult,0,2020-07-09
F,1,chthamalus,recruit,14,2020-07-09
F,2,chthamalus,recruit,6,2020-07-09
F,3,chthamalus,recruit,7,2020-07-09
F,4,chthamalus,recruit,45,2020-07-09
F,5,chthamalus,recruit,18,2020-07-09
F,6,chthamalus,recruit,13,2020-07-09
F,7,chthamalus,recruit,0,2020-07-09
F,8,chthamalus,recruit,11,2020-07-09
F,10,chthamalus,recruit,6,2020-07-09
F,11,chthamalus,recruit,31,2020-07-09
F,12,chthamalus,recruit,32,2020-07-09
F,13,chthamalus,recruit,3,2020-07-09
F,15,chthamalus,recruit,7,2020-07-09
F,16,chthamalus,recruit,9,2020-07-09
A,1,balanus,adult,79,2020-06-04
A,2,balanus,adult,66,2020-06-04
A,3,balanus,adult,0,2020-06-04
A,4,balanus,adult,28,2020-06-04
A,5,balanus,adult,48,2020-06-04
A,6,balanus,adult,32,2020-06-04
A,7,balanus,adult,63,2020-06-04
A,8,balanus,adult,25,2020-06-04
A,9,balanus,adult,77,2020-06-04
A,10,balanus,adult,79,2020-06-04
A,11,balanus,adult,63,2020-06-04
A,12,balanus,adult,60,2020-06-04
A,13,balanus,adult,9,2020-06-04
A,14,balanus,adult,3,2020-06-04
A,15,balanus,adult,6,2020-06-04
A,16,balanus,adult,62,2020-06-04
A,1,balanus,recruit,133,2020-06-04
A,2,balanus,recruit,242,2020-06-04
A,3,balanus,recruit,46,2020-06-04
A,4,balanus,recruit,126,2020-06-04
A,5,balanus,recruit,139,2020-06-04
A,6,balanus,recruit,127,2020-06-04
A,7,balanus,recruit,115,2020-06-04
A,8,balanus,recruit,134,2020-06-04
A,9,balanus,recruit,179,2020-06-04
A,10,balanus,recruit,183,2020-06-04
A,11,balanus,recruit,165,2020-06-04
A,12,balanus,recruit,151,2020-06-04
A,13,balanus,recruit,16,2020-06-04
A,14,balanus,recruit,9,2020-06-04
A,15,balanus,recruit,14,2020-06-04
A,16,balanus,recruit,125,2020-06-04
A,1,chthamalus,adult,0,2020-06-04
A,2,chthamalus,adult,4,2020-06-04
A,3,chthamalus,adult,0,2020-06-04
A,4,chthamalus,adult,0,2020-06-04
A,5,chthamalus,adult,0,2020-06-04
A,6,chthamalus,adult,0,2020-06-04
A,7,chthamalus,adult,0,2020-06-04
A,8,chthamalus,adult,0,2020-06-04
A,9,chthamalus,adult,1,2020-06-04
A,10,chthamalus,adult,2,2020-06-04
A,11,chthamalus,adult,1,2020-06-04
A,12,chthamalus,adult,0,2020-06-04
A,13,chthamalus,adult,0,2020-06-04
A,14,chthamalus,adult,1,2020-06-04
A,15,chthamalus,adult,0,2020-06-04
A,16,chthamalus,adult,5,2020-06-04
A,1,chthamalus,recruit,15,2020-06-04
A,2,chthamalus,recruit,82,2020-06-04
A,3,chthamalus,recruit,29,2020-06-04
A,4,chthamalus,recruit,37,2020-06-04
A,5,chthamalus,recruit,16,2020-06-04
A,6,chthamalus,recruit,19,2020-06-04
A,7,chthamalus,recruit,22,2020-06-04
A,8,chthamalus,recruit,44,2020-06-04
A,9,chthamalus,recruit,10,2020-06-04
A,10,chthamalus,recruit,34,2020-06-04
A,11,chthamalus,recruit,11,2020-06-04
A,12,chthamalus,recruit,15,2020-06-04
A,13,chthamalus,recruit,16,2020-06-04
A,14,chthamalus,recruit,5,2020-06-04
A,15,chthamalus,recruit,6,2020-06-04
A,16,chthamalus,recruit,47,2020-06-04
B,1,balanus,adult,6,2020-06-04
B,2,balanus,adult,15,2020-06-04
B,3,balanus,adult,21,2020-06-04
B,4,balanus,adult,35,2020-06-04
B,5,balanus,adult,18,2020-06-04
B,6,balanus,adult,0,2020-06-04
B,7,balanus,adult,0,2020-06-04
B,8,balanus,adult,9,2020-06-04
B,9,balanus,adult,0,2020-06-04
B,12,balanus,adult,0,2020-06-04
B,13,balanus,adult,0,2020-06-04
B,14,balanus,adult,0,2020-06-04
B,15,balanus,adult,2,2020-06-04
B,16,balanus,adult,0,2020-06-04
B,1,balanus,recruit,87,2020-06-04
B,2,balanus,recruit,69,2020-06-04
B,3,balanus,recruit,76,2020-06-04
B,4,balanus,recruit,215,2020-06-04
B,5,balanus,recruit,107,2020-06-04
B,6,balanus,recruit,24,2020-06-04
B,7,balanus,recruit,5,2020-06-04
B,8,balanus,recruit,43,2020-06-04
B,9,balanus,recruit,2,2020-06-04
B,12,balanus,recruit,14,2020-06-04
B,13,balanus,recruit,44,2020-06-04
B,14,balanus,recruit,40,2020-06-04
B,15,balanus,recruit,24,2020-06-04
B,16,balanus,recruit,18,2020-06-04
B,1,chthamalus,adult,0,2020-06-04
B,2,chthamalus,adult,0,2020-06-04
B,3,chthamalus,adult,0,2020-06-04
B,4,chthamalus,adult,0,2020-06-04
B,5,chthamalus,adult,0,2020-06-04
B,6,chthamalus,adult,0,2020-06-04
B,7,chthamalus,adult,0,2020-06-04
B,8,chthamalus,adult,0,2020-06-04
B,9,chthamalus,adult,0,2020-06-04
B,12,chthamalus,adult,0,2020-06-04
B,13,chthamalus,adult,0,2020-06-04
B,14,chthamalus,adult,0,2020-06-04
B,15,chthamalus,adult,0,2020-06-04
B,16,chthamalus,adult,0,2020-06-04
B,1,chthamalus,recruit,25,2020-06-04
B,2,chthamalus,recruit,2,2020-06-04
B,3,chthamalus,recruit,10,2020-06-04
B,4,chthamalus,recruit,19,2020-06-04
B,5,chthamalus,recruit,23,2020-06-04
B,6,chthamalus,recruit,7,2020-06-04
B,7,chthamalus,recruit,2,2020-06-04
B,8,chthamalus,recruit,8,2020-06-04
B,9,chthamalus,recruit,2,2020-06-04
B,12,chthamalus,recruit,10,2020-06-04
B,13,chthamalus,recruit,8,2020-06-04
B,14,chthamalus,recruit,12,2020-06-04
B,15,chthamalus,recruit,3,2020-06-04
B,16,chthamalus,recruit,0,2020-06-04
C,1,balanus,adult,0,2020-06-04
C,3,balanus,adult,21,2020-06-04
C,4,balanus,adult,35,2020-06-04
C,5,balanus,adult,76,2020-06-04
C,6,balanus,adult,10,2020-06-04
C,7,balanus,adult,21,2020-06-04
C,8,balanus,adult,63,2020-06-04
C,9,balanus,adult,59,2020-06-04
C,10,balanus,adult,1,2020-06-04
C,11,balanus,adult,10,2020-06-04
C,12,balanus,adult,7,2020-06-04
C,13,balanus,adult,76,2020-06-04
C,14,balanus,adult,23,2020-06-04
C,15,balanus,adult,10,2020-06-04
C,16,balanus,adult,54,2020-06-04
C,1,balanus,recruit,22,2020-06-04
C,3,balanus,recruit,81,2020-06-04
C,4,balanus,recruit,135,2020-06-04
C,5,balanus,recruit,25,2020-06-04
C,6,balanus,recruit,33,2020-06-04
C,7,balanus,recruit,67,2020-06-04
C,8,balanus,recruit,117,2020-06-04
C,9,balanus,recruit,166,2020-06-04
C,10,balanus,recruit,19,2020-06-04
C,11,balanus,recruit,24,2020-06-04
C,12,balanus,recruit,19,2020-06-04
C,13,balanus,recruit,232,2020-06-04
C,14,balanus,recruit,30,2020-06-04
C,15,balanus,recruit,34,2020-06-04
C,16,balanus,recruit,16,2020-06-04
C,1,chthamalus,adult,0,2020-06-04
C,3,chthamalus,adult,0,2020-06-04
C,4,chthamalus,adult,1,2020-06-04
C,5,chthamalus,adult,2,2020-06-04
C,6,chthamalus,adult,0,2020-06-04
C,7,chthamalus,adult,0,2020-06-04
C,8,chthamalus,adult,0,2020-06-04
C,9,chthamalus,adult,0,2020-06-04
C,10,chthamalus,adult,0,2020-06-04
C,11,chthamalus,adult,1,2020-06-04
C,12,chthamalus,adult,0,2020-06-04
C,13,chthamalus,adult,0,2020-06-04
C,14,chthamalus,adult,0,2020-06-04
C,15,chthamalus,adult,1,2020-06-04
C,16,chthamalus,adult,0,2020-06-04
C,1,chthamalus,recruit,5,2020-06-04
C,3,chthamalus,recruit,16,2020-06-04
C,4,chthamalus,recruit,20,2020-06-04
C,5,chthamalus,recruit,6,2020-06-04
C,6,chthamalus,recruit,1,2020-06-04
C,7,chthamalus,recruit,22,2020-06-04
C,8,chthamalus,recruit,5,2020-06-04
C,9,chthamalus,recruit,23,2020-06-04
C,10,chthamalus,recruit,3,2020-06-04
C,11,chthamalus,recruit,10,2020-06-04
C,12,chthamalus,recruit,10,2020-06-04
C,13,chthamalus,recruit,8,2020-06-04
C,14,chthamalus,recruit,14,2020-06-04
C,15,chthamalus,recruit,23,2020-06-04
C,16,chthamalus,recruit,7,2020-06-04
D,1,balanus,adult,108,2020-06-04
D,2,balanus,adult,89,2020-06-04
D,4,balanus,adult,70,2020-06-04
D,5,balanus,adult,89,2020-06-04
D,6,balanus,adult,111,2020-06-04
D,7,balanus,adult,38,2020-06-04
D,8,balanus,adult,102,2020-06-04
D,9,balanus,adult,39,2020-06-04
D,10,balanus,adult,87,2020-06-04
D,11,balanus,adult,16,2020-06-04
D,12,balanus,adult,30,2020-06-04
D,13,balanus,adult,4,2020-06-04
D,14,balanus,adult,30,2020-06-04
D,15,balanus,adult,59,2020-06-04
D,16,balanus,adult,2,2020-06-04
D,1,balanus,recruit,164,2020-06-04
D,2,balanus,recruit,142,2020-06-04
D,4,balanus,recruit,153,2020-06-04
D,5,balanus,recruit,248,2020-06-04
D,6,balanus,recruit,254,2020-06-04
D,7,balanus,recruit,122,2020-06-04
D,8,balanus,recruit,236,2020-06-04
D,9,balanus,recruit,66,2020-06-04
D,10,balanus,recruit,179,2020-06-04
D,11,balanus,recruit,35,2020-06-04
D,12,balanus,recruit,100,2020-06-04
D,13,balanus,recruit,6,2020-06-04
D,14,balanus,recruit,83,2020-06-04
D,15,balanus,recruit,150,2020-06-04
D,16,balanus,recruit,13,2020-06-04
D,1,chthamalus,adult,0,2020-06-04
D,2,chthamalus,adult,1,2020-06-04
D,4,chthamalus,adult,0,2020-06-04
D,5,chthamalus,adult,0,2020-06-04
D,6,chthamalus,adult,0,2020-06-04
D,7,chthamalus,adult,0,2020-06-04
D,8,chthamalus,adult,0,2020-06-04
D,9,chthamalus,adult,0,2020-06-04
D,10,chthamalus,adult,0,2020-06-04
D,11,chthamalus,adult,0,2020-06-04
D,12,chthamalus,adult,0,2020-06-04
D,13,chthamalus,adult,0,2020-06-04
D,14,chthamalus,adult,0,2020-06-04
D,15,chthamalus,adult,0,2020-06-04
D,16,chthamalus,adult,0,2020-06-04
D,1,chthamalus,recruit,39,2020-06-04
D,2,chthamalus,recruit,57,2020-06-04
D,4,chthamalus,recruit,37,2020-06-04
D,5,chthamalus,recruit,17,2020-06-04
D,6,chthamalus,recruit,37,2020-06-04
D,7,chthamalus,recruit,29,2020-06-04
D,8,chthamalus,recruit,31,2020-06-04
D,9,chthamalus,recruit,8,2020-06-04
D,10,chthamalus,recruit,57,2020-06-04
D,11,chthamalus,recruit,8,2020-06-04
D,12,chthamalus,recruit,64,2020-06-04
D,13,chthamalus,recruit,2,2020-06-04
D,14,chthamalus,recruit,19,2020-06-04
D,15,chthamalus,recruit,20,2020-06-04
D,16,chthamalus,recruit,17,2020-06-04
E,4,balanus,adult,28,2020-06-04
E,6,balanus,adult,3,2020-06-04
E,7,balanus,adult,7,2020-06-04
E,8,balanus,adult,61,2020-06-04
E,9,balanus,adult,77,2020-06-04
E,10,balanus,adult,77,2020-06-04
E,11,balanus,adult,9,2020-06-04
E,12,balanus,adult,49,2020-06-04
E,13,balanus,adult,38,2020-06-04
E,14,balanus,adult,14,2020-06-04
E,15,balanus,adult,3,2020-06-04
E,16,balanus,adult,11,2020-06-04
E,4,balanus,recruit,90,2020-06-04
E,6,balanus,recruit,22,2020-06-04
E,7,balanus,recruit,44,2020-06-04
E,8,balanus,recruit,153,2020-06-04
E,9,balanus,recruit,193,2020-06-04
E,10,balanus,recruit,202,2020-06-04
E,11,balanus,recruit,33,2020-06-04
E,12,balanus,recruit,38,2020-06-04
E,13,balanus,recruit,17,2020-06-04
E,14,balanus,recruit,1,2020-06-04
E,15,balanus,recruit,11,2020-06-04
E,16,balanus,recruit,19,2020-06-04
E,4,chthamalus,adult,0,2020-06-04
E,6,chthamalus,adult,1,2020-06-04
E,7,chthamalus,adult,0,2020-06-04
E,8,chthamalus,adult,5,2020-06-04
E,9,chthamalus,adult,0,2020-06-04
E,10,chthamalus,adult,1,2020-06-04
E,11,chthamalus,adult,0,2020-06-04
E,12,chthamalus,adult,0,2020-06-04
E,13,chthamalus,adult,0,2020-06-04
E,14,chthamalus,adult,0,2020-06-04
E,15,chthamalus,adult,2,2020-06-04
E,16,chthamalus,adult,0,2020-06-04
E,4,chthamalus,recruit,5,2020-06-04
E,6,chthamalus,recruit,2,2020-06-04
E,7,chthamalus,recruit,5,2020-06-04
E,8,chthamalus,recruit,15,2020-06-04
E,9,chthamalus,recruit,1,2020-06-04
E,10,chthamalus,recruit,38,2020-06-04
E,11,chthamalus,recruit,19,2020-06-04
E,12,chthamalus,recruit,9,2020-06-04
E,13,chthamalus,recruit,12,2020-06-04
E,14,chthamalus,recruit,3,2020-06-04
E,15,chthamalus,recruit,6,2020-06-04
E,16,chthamalus,recruit,3,2020-06-04
F,1,balanus,adult,0,2020-06-04
F,2,balanus,adult,1,2020-06-04
F,3,balanus,adult,7,2020-06-04
F,4,balanus,adult,50,2020-06-04
F,5,balanus,adult,75,2020-06-04
F,6,balanus,adult,31,2020-06-04
F,7,balanus,adult,38,2020-06-04
F,8,balanus,adult,9,2020-06-04
F,10,balanus,adult,22,2020-06-04
F,11,balanus,adult,22,2020-06-04
F,12,balanus,adult,44,2020-06-04
F,13,balanus,adult,0,2020-06-04
F,15,balanus,adult,3,2020-06-04
F,16,balanus,adult,0,2020-06-04
F,1,balanus,recruit,0,2020-06-04
F,2,balanus,recruit,4,2020-06-04
F,3,balanus,recruit,6,2020-06-04
F,4,balanus,recruit,69,2020-06-04
F,5,balanus,recruit,133,2020-06-04
