new_block,new_no,tile_id,date,species,size,count,treatment,survey_no
C,12,44,2020-06-04,Balanus glandula,recruit,19,WW,11
C,13,45,2020-06-04,Balanus glandula,recruit,232,CC,11
C,14,46,2020-06-04,Balanus glandula,recruit,30,CW,11
C,15,47,2020-06-04,Balanus glandula,recruit,34,CC,11
C,16,48,2020-06-04,Balanus glandula,recruit,16,CW,11
C,1,33,2020-06-04,Chthamalus dalli,recruit,5,WW,11
C,3,35,2020-06-04,Chthamalus dalli,recruit,16,CC,11
C,4,36,2020-06-04,Chthamalus dalli,recruit,20,WC,11
C,5,37,2020-06-04,Chthamalus dalli,recruit,6,CW,11
C,6,38,2020-06-04,Chthamalus dalli,recruit,1,WW,11
C,7,39,2020-06-04,Chthamalus dalli,recruit,22,WC,11
C,8,40,2020-06-04,Chthamalus dalli,recruit,5,WC,11
C,9,41,2020-06-04,Chthamalus dalli,recruit,23,CC,11
C,10,42,2020-06-04,Chthamalus dalli,recruit,3,WW,11
C,11,43,2020-06-04,Chthamalus dalli,recruit,10,WW,11
C,12,44,2020-06-04,Chthamalus dalli,recruit,10,WW,11
C,13,45,2020-06-04,Chthamalus dalli,recruit,8,CC,11
C,14,46,2020-06-04,Chthamalus dalli,recruit,14,CW,11
C,15,47,2020-06-04,Chthamalus dalli,recruit,23,CC,11
C,16,48,2020-06-04,Chthamalus dalli,recruit,7,CW,11
D,1,49,2020-06-04,Balanus glandula,recruit,164,CC,11
D,2,50,2020-06-04,Balanus glandula,recruit,142,CC,11
D,4,52,2020-06-04,Balanus glandula,recruit,153,CW,11
D,5,53,2020-06-04,Balanus glandula,recruit,248,CC,11
D,6,54,2020-06-04,Balanus glandula,recruit,254,CC,11
D,7,55,2020-06-04,Balanus glandula,recruit,122,WW,11
D,8,56,2020-06-04,Balanus glandula,recruit,236,WW,11
D,9,57,2020-06-04,Balanus glandula,recruit,66,WC,11
D,10,58,2020-06-04,Balanus glandula,recruit,179,CC,11
D,11,59,2020-06-04,Balanus glandula,recruit,35,CW,11
D,12,60,2020-06-04,Balanus glandula,recruit,100,WC,11
D,13,61,2020-06-04,Balanus glandula,recruit,6,CW,11
D,14,62,2020-06-04,Balanus glandula,recruit,83,WC,11
D,15,63,2020-06-04,Balanus glandula,recruit,150,WC,11
D,16,64,2020-06-04,Balanus glandula,recruit,13,WW,11
D,1,49,2020-06-04,Chthamalus dalli,recruit,39,CC,11
D,2,50,2020-06-04,Chthamalus dalli,recruit,57,CC,11
D,4,52,2020-06-04,Chthamalus dalli,recruit,37,CW,11
D,5,53,2020-06-04,Chthamalus dalli,recruit,17,CC,11
D,6,54,2020-06-04,Chthamalus dalli,recruit,37,CC,11
D,7,55,2020-06-04,Chthamalus dalli,recruit,29,WW,11
D,8,56,2020-06-04,Chthamalus dalli,recruit,31,WW,11
D,9,57,2020-06-04,Chthamalus dalli,recruit,8,WC,11
D,10,58,2020-06-04,Chthamalus dalli,recruit,57,CC,11
D,11,59,2020-06-04,Chthamalus dalli,recruit,8,CW,11
D,12,60,2020-06-04,Chthamalus dalli,recruit,64,WC,11
D,13,61,2020-06-04,Chthamalus dalli,recruit,2,CW,11
D,14,62,2020-06-04,Chthamalus dalli,recruit,19,WC,11
D,15,63,2020-06-04,Chthamalus dalli,recruit,20,WC,11
D,16,64,2020-06-04,Chthamalus dalli,recruit,17,WW,11
E,4,68,2020-06-04,Balanus glandula,recruit,90,WC,11
E,6,70,2020-06-04,Balanus glandula,recruit,22,WW,11
E,7,71,2020-06-04,Balanus glandula,recruit,44,WC,11
E,8,72,2020-06-04,Balanus glandula,recruit,153,CC,11
E,9,73,2020-06-04,Balanus glandula,recruit,193,CC,11
E,10,74,2020-06-04,Balanus glandula,recruit,202,CC,11
E,11,75,2020-06-04,Balanus glandula,recruit,33,WC,11
E,12,76,2020-06-04,Balanus glandula,recruit,38,CW,11
E,13,77,2020-06-04,Balanus glandula,recruit,17,CW,11
E,14,78,2020-06-04,Balanus glandula,recruit,1,CW,11
E,15,79,2020-06-04,Balanus glandula,recruit,11,WW,11
E,16,80,2020-06-04,Balanus glandula,recruit,19,WW,11
E,4,68,2020-06-04,Chthamalus dalli,recruit,5,WC,11
E,6,70,2020-06-04,Chthamalus dalli,recruit,2,WW,11
E,7,71,2020-06-04,Chthamalus dalli,recruit,5,WC,11
E,8,72,2020-06-04,Chthamalus dalli,recruit,15,CC,11
E,9,73,2020-06-04,Chthamalus dalli,recruit,1,CC,11
E,10,74,2020-06-04,Chthamalus dalli,recruit,38,CC,11
E,11,75,2020-06-04,Chthamalus dalli,recruit,19,WC,11
E,12,76,2020-06-04,Chthamalus dalli,recruit,9,CW,11
E,13,77,2020-06-04,Chthamalus dalli,recruit,12,CW,11
E,14,78,2020-06-04,Chthamalus dalli,recruit,3,CW,11
E,15,79,2020-06-04,Chthamalus dalli,recruit,6,WW,11
E,16,80,2020-06-04,Chthamalus dalli,recruit,3,WW,11
F,1,81,2020-06-04,Balanus glandula,recruit,0,WW,11
F,2,82,2020-06-04,Balanus glandula,recruit,4,WW,11
F,3,83,2020-06-04,Balanus glandula,recruit,6,CW,11
F,4,84,2020-06-04,Balanus glandula,recruit,69,CC,11
F,5,85,2020-06-04,Balanus glandula,recruit,133,WC,11
F,6,86,2020-06-04,Balanus glandula,recruit,48,WC,11
F,7,87,2020-06-04,Balanus glandula,recruit,66,CW,11
F,8,88,2020-06-04,Balanus glandula,recruit,22,WW,11
F,10,90,2020-06-04,Balanus glandula,recruit,64,WC,11
F,11,91,2020-06-04,Balanus glandula,recruit,36,CC,11
F,12,92,2020-06-04,Balanus glandula,recruit,97,CC,11
F,13,93,2020-06-04,Balanus glandula,recruit,4,WW,11
F,15,95,2020-06-04,Balanus glandula,recruit,0,CW,11
F,16,96,2020-06-04,Balanus glandula,recruit,18,WW,11
F,1,81,2020-06-04,Chthamalus dalli,recruit,37,WW,11
F,2,82,2020-06-04,Chthamalus dalli,recruit,42,WW,11
F,3,83,2020-06-04,Chthamalus dalli,recruit,15,CW,11
F,4,84,2020-06-04,Chthamalus dalli,recruit,51,CC,11
F,5,85,2020-06-04,Chthamalus dalli,recruit,64,WC,11
F,6,86,2020-06-04,Chthamalus dalli,recruit,21,WC,11
F,7,87,2020-06-04,Chthamalus dalli,recruit,30,CW,11
F,8,88,2020-06-04,Chthamalus dalli,recruit,27,WW,11
F,10,90,2020-06-04,Chthamalus dalli,recruit,26,WC,11
F,11,91,2020-06-04,Chthamalus dalli,recruit,56,CC,11
F,12,92,2020-06-04,Chthamalus dalli,recruit,65,CC,11
F,13,93,2020-06-04,Chthamalus dalli,recruit,3,WW,11
F,15,95,2020-06-04,Chthamalus dalli,recruit,9,CW,11
F,16,96,2020-06-04,Chthamalus dalli,recruit,11,WW,11
