survey_no,treatment,mean_abund,se_abund,block,date,timesincestart
5,W,44.98979591836735,3.767123314793424,F,2019-07-18,13.8571428571429
6,C,78.65957446808511,3.604143287901691,A,2019-07-31,15.7142857142857
6,C,78.65957446808511,3.604143287901691,B,2019-07-31,15.7142857142857
6,C,78.65957446808511,3.604143287901691,C,2019-07-31,15.7142857142857
6,C,78.65957446808511,3.604143287901691,D,2019-07-31,15.7142857142857
6,C,78.65957446808511,3.604143287901691,E,2019-07-31,15.7142857142857
6,C,78.65957446808511,3.604143287901691,F,2019-07-31,15.7142857142857
6,W,69.15816326530613,3.3893127937283083,A,2019-07-31,15.7142857142857
6,W,69.15816326530613,3.3893127937283083,B,2019-07-31,15.7142857142857
6,W,69.15816326530613,3.3893127937283083,C,2019-07-31,15.7142857142857
6,W,69.15816326530613,3.3893127937283083,D,2019-07-31,15.7142857142857
6,W,69.15816326530613,3.3893127937283083,E,2019-07-31,15.7142857142857
6,W,69.15816326530613,3.3893127937283083,F,2019-07-31,15.7142857142857
7,C,67.64893617021276,3.3990637448751335,A,2019-08-14,17.7142857142857
7,C,67.64893617021276,3.3990637448751335,B,2019-08-14,17.7142857142857
7,C,67.64893617021276,3.3990637448751335,C,2019-08-14,17.7142857142857
7,C,67.64893617021276,3.3990637448751335,D,2019-08-14,17.7142857142857
7,C,67.64893617021276,3.3990637448751335,E,2019-08-14,17.7142857142857
7,C,67.64893617021276,3.3990637448751335,F,2019-08-14,17.7142857142857
7,W,83,2.187433186540387,A,2019-08-14,17.7142857142857
7,W,83,2.187433186540387,B,2019-08-14,17.7142857142857
7,W,83,2.187433186540387,C,2019-08-14,17.7142857142857
7,W,83,2.187433186540387,D,2019-08-14,17.7142857142857
7,W,83,2.187433186540387,E,2019-08-14,17.7142857142857
7,W,83,2.187433186540387,F,2019-08-14,17.7142857142857
8,C,36.11702127659574,4.972338208848267,B,2019-10-20,27.2857142857143
8,C,36.11702127659574,4.972338208848267,C,2019-10-20,27.2857142857143
8,C,36.11702127659574,4.972338208848267,D,2019-10-20,27.2857142857143
8,C,36.11702127659574,4.972338208848267,E,2019-10-20,27.2857142857143
8,C,36.11702127659574,4.972338208848267,F,2019-10-20,27.2857142857143
8,C,36.11702127659574,4.972338208848267,A,2019-10-20,27.2857142857143
8,W,65.07142857142857,4.579211195180675,B,2019-10-20,27.2857142857143
8,W,65.07142857142857,4.579211195180675,C,2019-10-20,27.2857142857143
8,W,65.07142857142857,4.579211195180675,D,2019-10-20,27.2857142857143
8,W,65.07142857142857,4.579211195180675,E,2019-10-20,27.2857142857143
8,W,65.07142857142857,4.579211195180675,F,2019-10-20,27.2857142857143
8,W,65.07142857142857,4.579211195180675,A,2019-10-20,27.2857142857143
9,C,0.9642857142857143,0.1741020242554416,A,2020-01-21,40.5714285714286
9,C,0.9642857142857143,0.1741020242554416,B,2020-01-21,40.5714285714286
9,C,0.9642857142857143,0.1741020242554416,C,2020-01-21,40.5714285714286
9,C,0.9642857142857143,0.1741020242554416,D,2020-01-21,40.5714285714286
9,C,0.9642857142857143,0.1741020242554416,E,2020-01-21,40.5714285714286
9,C,0.9642857142857143,0.1741020242554416,F,2020-01-21,40.5714285714286
9,W,1.7765957446808511,0.28604956722869684,A,2020-01-21,40.5714285714286
9,W,1.7765957446808511,0.28604956722869684,B,2020-01-21,40.5714285714286
9,W,1.7765957446808511,0.28604956722869684,C,2020-01-21,40.5714285714286
9,W,1.7765957446808511,0.28604956722869684,D,2020-01-21,40.5714285714286
9,W,1.7765957446808511,0.28604956722869684,E,2020-01-21,40.5714285714286
9,W,1.7765957446808511,0.28604956722869684,F,2020-01-21,40.5714285714286
10,C,0.12195121951219512,0.08691965698149005,A,2020-03-15,48.2857142857143
10,C,0.12195121951219512,0.08691965698149005,B,2020-03-15,48.2857142857143
10,C,0.12195121951219512,0.08691965698149005,C,2020-03-15,48.2857142857143
10,C,0.12195121951219512,0.08691965698149005,D,2020-03-15,48.2857142857143
10,C,0.12195121951219512,0.08691965698149005,E,2020-03-15,48.2857142857143
10,C,0.12195121951219512,0.08691965698149005,F,2020-03-15,48.2857142857143
10,W,1.7195652173913043,0.7897264221780592,A,2020-03-15,48.2857142857143
10,W,1.7195652173913043,0.7897264221780592,B,2020-03-15,48.2857142857143
10,W,1.7195652173913043,0.7897264221780592,C,2020-03-15,48.2857142857143
10,W,1.7195652173913043,0.7897264221780592,D,2020-03-15,48.2857142857143
10,W,1.7195652173913043,0.7897264221780592,E,2020-03-15,48.2857142857143
10,W,1.7195652173913043,0.7897264221780592,F,2020-03-15,48.2857142857143
10,CC,0.13636363636363635,0.13636363636363635,A,2020-03-15,48.2857142857143
10,CC,0.13636363636363635,0.13636363636363635,B,2020-03-15,48.2857142857143
10,CC,0.13636363636363635,0.13636363636363635,C,2020-03-15,48.2857142857143
10,CC,0.13636363636363635,0.13636363636363635,D,2020-03-15,48.2857142857143
10,CC,0.13636363636363635,0.13636363636363635,E,2020-03-15,48.2857142857143
10,CC,0.13636363636363635,0.13636363636363635,F,2020-03-15,48.2857142857143
10,CW,0.10526315789473684,0.10526315789473684,A,2020-03-15,48.2857142857143
10,CW,0.10526315789473684,0.10526315789473684,B,2020-03-15,48.2857142857143
10,CW,0.10526315789473684,0.10526315789473684,C,2020-03-15,48.2857142857143
10,CW,0.10526315789473684,0.10526315789473684,D,2020-03-15,48.2857142857143
10,CW,0.10526315789473684,0.10526315789473684,E,2020-03-15,48.2857142857143
10,CW,0.10526315789473684,0.10526315789473684,F,2020-03-15,48.2857142857143
10,WC,1.7,0.9433981132056602,A,2020-03-15,48.2857142857143
10,WC,1.7,0.9433981132056602,B,2020-03-15,48.2857142857143
10,WC,1.7,0.9433981132056602,C,2020-03-15,48.2857142857143
10,WC,1.7,0.9433981132056602,D,2020-03-15,48.2857142857143
10,WC,1.7,0.9433981132056602,E,2020-03-15,48.2857142857143
10,WC,1.7,0.9433981132056602,F,2020-03-15,48.2857142857143
10,WW,1.804,1.2580736597406899,A,2020-03-15,48.2857142857143
10,WW,1.804,1.2580736597406899,B,2020-03-15,48.2857142857143
10,WW,1.804,1.2580736597406899,C,2020-03-15,48.2857142857143
10,WW,1.804,1.2580736597406899,D,2020-03-15,48.2857142857143
10,WW,1.804,1.2580736597406899,E,2020-03-15,48.2857142857143
10,WW,1.804,1.2580736597406899,F,2020-03-15,48.2857142857143
11,C,0,NA,A,2020-06-04,59.8571428571429
11,C,0,NA,B,2020-06-04,59.8571428571429
11,C,0,NA,C,2020-06-04,59.8571428571429
11,C,0,NA,D,2020-06-04,59.8571428571429
11,C,0,NA,E,2020-06-04,59.8571428571429
11,C,0,NA,F,2020-06-04,59.8571428571429
11,W,0,0,A,2020-06-04,59.8571428571429
11,W,0,0,B,2020-06-04,59.8571428571429
11,W,0,0,C,2020-06-04,59.8571428571429
11,W,0,0,D,2020-06-04,59.8571428571429
11,W,0,0,E,2020-06-04,59.8571428571429
11,W,0,0,F,2020-06-04,59.8571428571429
11,CC,0,0,A,2020-06-04,59.8571428571429
11,CC,0,0,B,2020-06-04,59.8571428571429
11,CC,0,0,C,2020-06-04,59.8571428571429
11,CC,0,0,D,2020-06-04,59.8571428571429
11,CC,0,0,E,2020-06-04,59.8571428571429
11,CC,0,0,F,2020-06-04,59.8571428571429
11,CW,0,0,A,2020-06-04,59.8571428571429
11,CW,0,0,B,2020-06-04,59.8571428571429
11,CW,0,0,C,2020-06-04,59.8571428571429
11,CW,0,0,D,2020-06-04,59.8571428571429
11,CW,0,0,E,2020-06-04,59.8571428571429
11,CW,0,0,F,2020-06-04,59.8571428571429
11,WC,0,0,A,2020-06-04,59.8571428571429
11,WC,0,0,B,2020-06-04,59.8571428571429
11,WC,0,0,C,2020-06-04,59.8571428571429
11,WC,0,0,D,2020-06-04,59.8571428571429
11,WC,0,0,E,2020-06-04,59.8571428571429
11,WC,0,0,F,2020-06-04,59.8571428571429
11,WW,0,0,A,2020-06-04,59.8571428571429
11,WW,0,0,B,2020-06-04,59.8571428571429
11,WW,0,0,C,2020-06-04,59.8571428571429
11,WW,0,0,D,2020-06-04,59.8571428571429
11,WW,0,0,E,2020-06-04,59.8571428571429
11,WW,0,0,F,2020-06-04,59.8571428571429
12,C,0,NA,A,2020-07-09,64.8571428571429
12,C,0,NA,B,2020-07-09,64.8571428571429
12,C,0,NA,C,2020-07-09,64.8571428571429
12,C,0,NA,E,2020-07-09,64.8571428571429
12,W,0,NA,A,2020-07-09,64.8571428571429
12,W,0,NA,B,2020-07-09,64.8571428571429
12,W,0,NA,C,2020-07-09,64.8571428571429
12,W,0,NA,E,2020-07-09,64.8571428571429
12,CC,0,0,A,2020-07-09,64.8571428571429
12,CC,0,0,B,2020-07-09,64.8571428571429
12,CC,0,0,C,2020-07-09,64.8571428571429
12,CC,0,0,E,2020-07-09,64.8571428571429
12,CW,0,0,A,2020-07-09,64.8571428571429
12,CW,0,0,B,2020-07-09,64.8571428571429
12,CW,0,0,C,2020-07-09,64.8571428571429
12,CW,0,0,E,2020-07-09,64.8571428571429
12,WC,0,0,A,2020-07-09,64.8571428571429
12,WC,0,0,B,2020-07-09,64.8571428571429
12,WC,0,0,C,2020-07-09,64.8571428571429
12,WC,0,0,E,2020-07-09,64.8571428571429
12,WW,0,0,A,2020-07-09,64.8571428571429
12,WW,0,0,B,2020-07-09,64.8571428571429
12,WW,0,0,C,2020-07-09,64.8571428571429
12,WW,0,0,E,2020-07-09,64.8571428571429
14,CC,0,0,E,2020-09-14,74.4285714285714
14,CC,0,0,F,2020-09-14,74.4285714285714
14,CW,0,0,E,2020-09-14,74.4285714285714
14,CW,0,0,F,2020-09-14,74.4285714285714
14,WC,0,0,E,2020-09-14,74.4285714285714
14,WC,0,0,F,2020-09-14,74.4285714285714
14,WW,4.1875,4.1875,E,2020-09-14,74.4285714285714
14,WW,4.1875,4.1875,F,2020-09-14,74.4285714285714
15,CC,0,0,A,2020-12-11,87
15,CC,0,0,B,2020-12-11,87
15,CC,0,0,C,2020-12-11,87
15,CC,0,0,D,2020-12-11,87
15,CC,0,0,E,2020-12-11,87
15,CC,0,0,F,2020-12-11,87
15,CW,1.9625,1.2710987232649218,A,2020-12-11,87
15,CW,1.9625,1.2710987232649218,B,2020-12-11,87
15,CW,1.9625,1.2710987232649218,C,2020-12-11,87
15,CW,1.9625,1.2710987232649218,D,2020-12-11,87
15,CW,1.9625,1.2710987232649218,E,2020-12-11,87
15,CW,1.9625,1.2710987232649218,F,2020-12-11,87
15,WC,0.018181818181818184,0.018181818181818184,A,2020-12-11,87
15,WC,0.018181818181818184,0.018181818181818184,B,2020-12-11,87
15,WC,0.018181818181818184,0.018181818181818184,C,2020-12-11,87
15,WC,0.018181818181818184,0.018181818181818184,D,2020-12-11,87
15,WC,0.018181818181818184,0.018181818181818184,E,2020-12-11,87
15,WC,0.018181818181818184,0.018181818181818184,F,2020-12-11,87
15,WW,1.11875,0.9964611863155199,A,2020-12-11,87
15,WW,1.11875,0.9964611863155199,B,2020-12-11,87
15,WW,1.11875,0.9964611863155199,C,2020-12-11,87
15,WW,1.11875,0.9964611863155199,D,2020-12-11,87
15,WW,1.11875,0.9964611863155199,E,2020-12-11,87
15,WW,1.11875,0.9964611863155199,F,2020-12-11,87
16,CC,0,0,A,2021-02-24,97.7142857142857
16,CC,0,0,B,2021-02-24,97.7142857142857
16,CC,0,0,C,2021-02-24,97.7142857142857
16,CC,0,0,D,2021-02-24,97.7142857142857
16,CC,0,0,E,2021-02-24,97.7142857142857
16,CC,0,0,F,2021-02-24,97.7142857142857
16,CW,0,0,A,2021-02-24,97.7142857142857
16,CW,0,0,B,2021-02-24,97.7142857142857
16,CW,0,0,C,2021-02-24,97.7142857142857
16,CW,0,0,D,2021-02-24,97.7142857142857
16,CW,0,0,E,2021-02-24,97.7142857142857
16,CW,0,0,F,2021-02-24,97.7142857142857
16,WC,1,0.6842381297339533,A,2021-02-24,97.7142857142857
16,WC,1,0.6842381297339533,B,2021-02-24,97.7142857142857
16,WC,1,0.6842381297339533,C,2021-02-24,97.7142857142857
16,WC,1,0.6842381297339533,D,2021-02-24,97.7142857142857
16,WC,1,0.6842381297339533,E,2021-02-24,97.7142857142857
16,WC,1,0.6842381297339533,F,2021-02-24,97.7142857142857
16,WW,0.4,0.3737200378179723,A,2021-02-24,97.7142857142857
16,WW,0.4,0.3737200378179723,B,2021-02-24,97.7142857142857
16,WW,0.4,0.3737200378179723,C,2021-02-24,97.7142857142857
16,WW,0.4,0.3737200378179723,D,2021-02-24,97.7142857142857
16,WW,0.4,0.3737200378179723,E,2021-02-24,97.7142857142857
16,WW,0.4,0.3737200378179723,F,2021-02-24,97.7142857142857
