date,block,number,treatment,temp,species,number,cover
08-14-19,E,2,pdig,ambient,balanus,104,
08-14-19,E,3,dig_pdig,warm,balanus,0,
08-14-19,E,4,pdig,warm,balanus,0,
08-14-19,E,5,control,ambient,balanus,130,
08-14-19,E,6,dig,warm,balanus,3,
08-14-19,E,7,pdig,warm,balanus,2,
08-14-19,E,8,control,ambient,balanus,97,
08-14-19,E,9,dig_pdig,ambient,balanus,105,
08-14-19,E,10,dig,ambient,balanus,79,
08-14-19,E,11,control,warm,balanus,1,
08-14-19,E,12,dig,ambient,balanus,76,
08-14-19,E,13,dig_pdig,ambient,balanus,98,
08-14-19,E,14,pdig,ambient,balanus,49,
08-14-19,E,15,dig_pdig,warm,balanus,0,
08-14-19,E,16,dig,warm,balanus,0,
08-14-19,F,1,control,warm,balanus,0,
08-14-19,F,2,pdig,warm,balanus,0,
08-14-19,F,3,control,ambient,balanus,0,
08-14-19,F,4,pdig,ambient,balanus,10,
08-14-19,F,5,dig_pdig,warm,balanus,18,
08-14-19,F,6,pdig,warm,balanus,0,
08-14-19,F,7,control,ambient,balanus,3,
08-14-19,F,8,dig,warm,balanus,65,
08-14-19,F,9,dig,ambient,balanus,15,
08-14-19,F,10,dig_pdig,warm,balanus,122,
08-14-19,F,11,pdig,ambient,balanus,0,
08-14-19,F,12,dig_pdig,ambient,balanus,10,
08-14-19,F,13,control,warm,balanus,7,
08-14-19,F,14,dig_pdig,ambient,balanus,1,
08-14-19,F,15,dig,ambient,balanus,3,
08-14-19,F,16,dig,warm,balanus,20,
08-14-19,A,1,dig,warm,chthamalus,2,
08-14-19,A,2,dig_pdig,ambient,chthamalus,1,
08-14-19,A,3,pdig,warm,chthamalus,0,
08-14-19,A,4,dig_pdig,warm,chthamalus,0,
08-14-19,A,5,dig_pdig,warm,chthamalus,0,
08-14-19,A,6,control,warm,chthamalus,0,
08-14-19,A,7,dig_pdig,ambient,chthamalus,0,
08-14-19,A,8,control,ambient,chthamalus,0,
08-14-19,A,9,dig,ambient,chthamalus,0,
08-14-19,A,10,control,warm,chthamalus,0,
08-14-19,A,11,pdig,ambient,chthamalus,0,
08-14-19,A,12,dig,ambient,chthamalus,0,
08-14-19,A,13,control,ambient,chthamalus,0,
08-14-19,A,14,dig,warm,chthamalus,0,
08-14-19,A,15,pdig,warm,chthamalus,0,
08-14-19,A,16,pdig,ambient,chthamalus,0,
08-14-19,B,1,pdig,warm,chthamalus,0,
08-14-19,B,2,dig,warm,chthamalus,0,
08-14-19,B,3,control,ambient,chthamalus,0,
08-14-19,B,4,pdig,ambient,chthamalus,1,
08-14-19,B,5,dig_pdig,ambient,chthamalus,0,
08-14-19,B,6,pdig,warm,chthamalus,0,
08-14-19,B,7,control,warm,chthamalus,0,
08-14-19,B,8,dig_pdig,warm,chthamalus,0,
08-14-19,B,9,dig,ambient,chthamalus,0,
08-14-19,B,10,pdig,warm,chthamalus,0,
08-14-19,B,11,dig,ambient,chthamalus,0,
08-14-19,B,12,control,warm,chthamalus,0,
08-14-19,B,13,dig,warm,chthamalus,0,
08-14-19,B,14,dig_pdig,ambient,chthamalus,0,
08-14-19,B,15,dig,ambient,chthamalus,0,
08-14-19,B,16,dig_pdig,warm,chthamalus,0,
08-14-19,C,1,dig_pdig,warm,chthamalus,0,
08-14-19,C,2,dig,ambient,chthamalus,0,
08-14-19,C,3,dig_pdig,ambient,chthamalus,0,
08-14-19,C,4,pdig,warm,chthamalus,0,
08-14-19,C,5,pdig,ambient,chthamalus,0,
08-14-19,C,6,pdig,warm,chthamalus,0,
08-14-19,C,7,dig,warm,chthamalus,0,
08-14-19,C,8,control,warm,chthamalus,0,
08-14-19,C,9,dig_pdig,ambient,chthamalus,0,
08-14-19,C,10,dig_pdig,warm,chthamalus,0,
08-14-19,C,11,dig,warm,chthamalus,0,
08-14-19,C,12,control,warm,chthamalus,0,
08-14-19,C,13,control,ambient,chthamalus,0,
08-14-19,C,14,dig,ambient,chthamalus,0,
08-14-19,C,15,pdig,ambient,chthamalus,0,
08-14-19,C,16,control,ambient,chthamalus,0,
08-14-19,D,1,dig_pdig,ambient,chthamalus,0,
08-14-19,D,2,control,ambient,chthamalus,0,
08-14-19,D,3,control,ambient,chthamalus,0,
08-14-19,D,4,dig_pdig,ambient,chthamalus,0,
08-14-19,D,5,dig,warm,chthamalus,0,
08-14-19,D,6,pdig,ambient,chthamalus,0,
08-14-19,D,7,dig,warm,chthamalus,0,
08-14-19,D,8,dig_pdig,warm,chthamalus,0,
08-14-19,D,9,dig_pdig,warm,chthamalus,0,
08-14-19,D,10,pdig,warm,chthamalus,0,
08-14-19,D,11,control,ambient,chthamalus,0,
08-14-19,D,12,pdig,ambeint,chthamalus,0,
08-14-19,D,13,dig,ambient,chthamalus,0,
08-14-19,D,14,dig,warm,chthamalus,0,
08-14-19,D,15,control,warm,chthamalus,0,
08-14-19,D,16,pdig,warm,chthamalus,0,
08-14-19,E,1,control,warm,chthamalus,0,
08-14-19,E,2,pdig,ambient,chthamalus,0,
08-14-19,E,3,dig_pdig,warm,chthamalus,0,
08-14-19,E,4,pdig,warm,chthamalus,0,
08-14-19,E,5,control,ambient,chthamalus,0,
08-14-19,E,6,dig,warm,chthamalus,0,
08-14-19,E,7,pdig,warm,chthamalus,0,
08-14-19,E,8,control,ambient,chthamalus,0,
08-14-19,E,9,dig_pdig,ambient,chthamalus,0,
08-14-19,E,10,dig,ambient,chthamalus,0,
08-14-19,E,11,control,warm,chthamalus,0,
08-14-19,E,12,dig,ambient,chthamalus,0,
08-14-19,E,13,dig_pdig,ambient,chthamalus,0,
08-14-19,E,14,pdig,ambient,chthamalus,0,
08-14-19,E,15,dig_pdig,warm,chthamalus,0,
08-14-19,E,16,dig,warm,chthamalus,0,
08-14-19,F,1,control,warm,chthamalus,0,
08-14-19,F,2,pdig,warm,chthamalus,0,
08-14-19,F,3,control,ambient,chthamalus,0,
08-14-19,F,4,pdig,ambient,chthamalus,0,
08-14-19,F,5,dig_pdig,warm,chthamalus,0,
08-14-19,F,6,pdig,warm,chthamalus,0,
08-14-19,F,7,control,ambient,chthamalus,0,
08-14-19,F,8,dig,warm,chthamalus,0,
08-14-19,F,9,dig,ambient,chthamalus,0,
08-14-19,F,10,dig_pdig,warm,chthamalus,0,
08-14-19,F,11,pdig,ambient,chthamalus,0,
08-14-19,F,12,dig_pdig,ambient,chthamalus,0,
08-14-19,F,13,control,warm,chthamalus,0,
08-14-19,F,14,dig_pdig,ambient,chthamalus,0,
08-14-19,F,15,dig,ambient,chthamalus,0,
08-14-19,F,16,dig,warm,chthamalus,0,
08-14-19,A,1,dig,warm,ulothrix,,94
08-14-19,A,2,dig_pdig,ambient,ulothrix,,78.5
08-14-19,A,3,pdig,warm,ulothrix,,97
08-14-19,A,4,dig_pdig,warm,ulothrix,,95
08-14-19,A,5,dig_pdig,warm,ulothrix,,94
08-14-19,A,6,control,warm,ulothrix,,98
08-14-19,A,7,dig_pdig,ambient,ulothrix,,99.5
08-14-19,A,8,control,ambient,ulothrix,,90
08-14-19,A,9,dig,ambient,ulothrix,,98
08-14-19,A,10,control,warm,ulothrix,,99
08-14-19,A,11,pdig,ambient,ulothrix,,75.5
08-14-19,A,12,dig,ambient,ulothrix,,86
08-14-19,A,13,control,ambient,ulothrix,,97.5
08-14-19,A,14,dig,warm,ulothrix,,91
08-14-19,A,15,pdig,warm,ulothrix,,96
08-14-19,A,16,pdig,ambient,ulothrix,,87
08-14-19,B,1,pdig,warm,ulothrix,,58.5
08-14-19,B,2,dig,warm,ulothrix,,58.5
08-14-19,B,3,control,ambient,ulothrix,,91
08-14-19,B,4,pdig,ambient,ulothrix,,90
08-14-19,B,5,dig_pdig,ambient,ulothrix,,93
08-14-19,B,6,pdig,warm,ulothrix,,32.5
08-14-19,B,7,control,warm,ulothrix,,94
08-14-19,B,8,dig_pdig,warm,ulothrix,,93.5
08-14-19,B,9,dig,ambient,ulothrix,,58
08-14-19,B,10,pdig,warm,ulothrix,,73
08-14-19,B,11,dig,ambient,ulothrix,,87.5
08-14-19,B,12,control,warm,ulothrix,,55
08-14-19,B,13,dig,warm,ulothrix,,80.5
08-14-19,B,14,dig_pdig,ambient,ulothrix,,92.5
08-14-19,B,15,dig,ambient,ulothrix,,89
08-14-19,B,16,dig_pdig,warm,ulothrix,,26
08-14-19,C,1,dig_pdig,warm,ulothrix,,64
08-14-19,C,2,dig,ambient,ulothrix,,94.5
08-14-19,C,3,dig_pdig,ambient,ulothrix,,60
08-14-19,C,4,pdig,warm,ulothrix,,87
08-14-19,C,5,pdig,ambient,ulothrix,,68
08-14-19,C,6,pdig,warm,ulothrix,,87
08-14-19,C,7,dig,warm,ulothrix,,77
08-14-19,C,8,control,warm,ulothrix,,72.5
08-14-19,C,9,dig_pdig,ambient,ulothrix,,95
08-14-19,C,10,dig_pdig,warm,ulothrix,,49.5
08-14-19,C,11,dig,warm,ulothrix,,59.5
08-14-19,C,12,control,warm,ulothrix,,83
08-14-19,C,13,control,ambient,ulothrix,,58
08-14-19,C,14,dig,ambient,ulothrix,,62.5
08-14-19,C,15,pdig,ambient,ulothrix,,66.45367412
08-14-19,C,16,control,ambient,ulothrix,,60
08-14-19,D,1,dig_pdig,ambient,ulothrix,,56
08-14-19,D,2,control,ambient,ulothrix,,39.5
08-14-19,D,3,control,ambient,ulothrix,,94
08-14-19,D,4,dig_pdig,ambient,ulothrix,,67.5
08-14-19,D,5,dig,warm,ulothrix,,56
08-14-19,D,6,pdig,ambient,ulothrix,,57
08-14-19,D,7,dig,warm,ulothrix,,84
08-14-19,D,8,dig_pdig,warm,ulothrix,,85
08-14-19,D,9,dig_pdig,warm,ulothrix,,86
08-14-19,D,10,pdig,warm,ulothrix,,53
08-14-19,D,11,control,ambient,ulothrix,,54
08-14-19,D,12,pdig,ambeint,ulothrix,,76
08-14-19,D,13,dig,ambient,ulothrix,,67
08-14-19,D,14,dig,warm,ulothrix,,78
08-14-19,D,15,control,warm,ulothrix,,72
08-14-19,D,16,pdig,warm,ulothrix,,77
08-14-19,E,1,control,warm,ulothrix,,97
08-14-19,E,2,pdig,ambient,ulothrix,,43
08-14-19,E,3,dig_pdig,warm,ulothrix,,97
08-14-19,E,4,pdig,warm,ulothrix,,56
08-14-19,E,5,control,ambient,ulothrix,,14
08-14-19,E,6,dig,warm,ulothrix,,94
08-14-19,E,7,pdig,warm,ulothrix,,97
08-14-19,E,8,control,ambient,ulothrix,,58.5
08-14-19,E,9,dig_pdig,ambient,ulothrix,,33
08-14-19,E,10,dig,ambient,ulothrix,,41
08-14-19,E,11,control,warm,ulothrix,,92.5
08-14-19,E,12,dig,ambient,ulothrix,,44
08-14-19,E,13,dig_pdig,ambient,ulothrix,,35
08-14-19,E,14,pdig,ambient,ulothrix,,61
08-14-19,E,15,dig_pdig,warm,ulothrix,,89
08-14-19,E,16,dig,warm,ulothrix,,92.5
08-14-19,F,1,control,warm,ulothrix,,96
08-14-19,F,2,pdig,warm,ulothrix,,97
08-14-19,F,3,control,ambient,ulothrix,,89
08-14-19,F,4,pdig,ambient,ulothrix,,85
08-14-19,F,5,dig_pdig,warm,ulothrix,,83
08-14-19,F,6,pdig,warm,ulothrix,,92.5
08-14-19,F,7,control,ambient,ulothrix,,58
08-14-19,F,8,dig,warm,ulothrix,,72
08-14-19,F,9,dig,ambient,ulothrix,,15
08-14-19,F,10,dig_pdig,warm,ulothrix,,92.5
08-14-19,F,11,pdig,ambient,ulothrix,,93.5
08-14-19,F,12,dig_pdig,ambient,ulothrix,,80.5
08-14-19,F,13,control,warm,ulothrix,,90
08-14-19,F,14,dig_pdig,ambient,ulothrix,,96.5
08-14-19,F,15,dig,ambient,ulothrix,,94.5
08-14-19,F,16,dig,warm,ulothrix,,87
08-14-19,A,1,dig,warm,litt_scut,0,
08-14-19,A,2,dig_pdig,ambient,litt_scut,2,
08-14-19,A,3,pdig,warm,litt_scut,4,
08-14-19,A,4,dig_pdig,warm,litt_scut,0,
08-14-19,A,5,dig_pdig,warm,litt_scut,1,
08-14-19,A,6,control,warm,litt_scut,0,
08-14-19,A,7,dig_pdig,ambient,litt_scut,1,
08-14-19,A,8,control,ambient,litt_scut,0,
08-14-19,A,9,dig,ambient,litt_scut,0,
08-14-19,A,10,control,warm,litt_scut,1,
08-14-19,A,11,pdig,ambient,litt_scut,0,
08-14-19,A,12,dig,ambient,litt_scut,0,
08-14-19,A,13,control,ambient,litt_scut,0,
08-14-19,A,14,dig,warm,litt_scut,0,
08-14-19,A,15,pdig,warm,litt_scut,0,
08-14-19,A,16,pdig,ambient,litt_scut,1,
08-14-19,B,1,pdig,warm,litt_scut,0,
08-14-19,B,2,dig,warm,litt_scut,0,
08-14-19,B,3,control,ambient,litt_scut,0,
08-14-19,B,4,pdig,ambient,litt_scut,0,
08-14-19,B,5,dig_pdig,ambient,litt_scut,0,
08-14-19,B,6,pdig,warm,litt_scut,0,
08-14-19,B,7,control,warm,litt_scut,0,
08-14-19,B,8,dig_pdig,warm,litt_scut,0,
08-14-19,B,9,dig,ambient,litt_scut,0,
08-14-19,B,10,pdig,warm,litt_scut,1,
08-14-19,B,11,dig,ambient,litt_scut,0,
08-14-19,B,12,control,warm,litt_scut,0,
08-14-19,B,13,dig,warm,litt_scut,0,
08-14-19,B,14,dig_pdig,ambient,litt_scut,0,
08-14-19,B,15,dig,ambient,litt_scut,0,
08-14-19,B,16,dig_pdig,warm,litt_scut,0,
08-14-19,C,1,dig_pdig,warm,litt_scut,0,
08-14-19,C,2,dig,ambient,litt_scut,1,
08-14-19,C,3,dig_pdig,ambient,litt_scut,1,
08-14-19,C,4,pdig,warm,litt_scut,0,
08-14-19,C,5,pdig,ambient,litt_scut,0,
08-14-19,C,6,pdig,warm,litt_scut,0,
08-14-19,C,7,dig,warm,litt_scut,0,
08-14-19,C,8,control,warm,litt_scut,0,
08-14-19,C,9,dig_pdig,ambient,litt_scut,0,
08-14-19,C,10,dig_pdig,warm,litt_scut,0,
08-14-19,C,11,dig,warm,litt_scut,0,
08-14-19,C,12,control,warm,litt_scut,0,
08-14-19,C,13,control,ambient,litt_scut,0,
08-14-19,C,14,dig,ambient,litt_scut,0,
08-14-19,C,15,pdig,ambient,litt_scut,0,
08-14-19,C,16,control,ambient,litt_scut,0,
08-14-19,D,1,dig_pdig,ambient,litt_scut,0,
08-14-19,D,2,control,ambient,litt_scut,0,
08-14-19,D,3,control,ambient,litt_scut,0,
08-14-19,D,4,dig_pdig,ambient,litt_scut,0,
08-14-19,D,5,dig,warm,litt_scut,0,
08-14-19,D,6,pdig,ambient,litt_scut,0,
08-14-19,D,7,dig,warm,litt_scut,0,
08-14-19,D,8,dig_pdig,warm,litt_scut,0,
08-14-19,D,9,dig_pdig,warm,litt_scut,0,
08-14-19,D,10,pdig,warm,litt_scut,0,
08-14-19,D,11,control,ambient,litt_scut,0,
08-14-19,D,12,pdig,ambeint,litt_scut,1,
08-14-19,D,13,dig,ambient,litt_scut,1,
08-14-19,D,14,dig,warm,litt_scut,0,
08-14-19,D,15,control,warm,litt_scut,1,
08-14-19,D,16,pdig,warm,litt_scut,0,
08-14-19,E,1,control,warm,litt_scut,1,
08-14-19,E,2,pdig,ambient,litt_scut,0,
08-14-19,E,3,dig_pdig,warm,litt_scut,0,
08-14-19,E,4,pdig,warm,litt_scut,0,
08-14-19,E,5,control,ambient,litt_scut,0,
08-14-19,E,6,dig,warm,litt_scut,0,
08-14-19,E,7,pdig,warm,litt_scut,0,
08-14-19,E,8,control,ambient,litt_scut,1,
08-14-19,E,9,dig_pdig,ambient,litt_scut,0,
08-14-19,E,10,dig,ambient,litt_scut,1,
08-14-19,E,11,control,warm,litt_scut,0,
08-14-19,E,12,dig,ambient,litt_scut,0,
08-14-19,E,13,dig_pdig,ambient,litt_scut,0,
08-14-19,E,14,pdig,ambient,litt_scut,2,
08-14-19,E,15,dig_pdig,warm,litt_scut,2,
08-14-19,E,16,dig,warm,litt_scut,0,
08-14-19,F,1,control,warm,litt_scut,0,
08-14-19,F,2,pdig,warm,litt_scut,0,
08-14-19,F,3,control,ambient,litt_scut,0,
08-14-19,F,4,pdig,ambient,litt_scut,0,
08-14-19,F,5,dig_pdig,warm,litt_scut,0,
08-14-19,F,6,pdig,warm,litt_scut,0,
08-14-19,F,7,control,ambient,litt_scut,0,
08-14-19,F,8,dig,warm,litt_scut,0,
08-14-19,F,9,dig,ambient,litt_scut,0,
08-14-19,F,10,dig_pdig,warm,litt_scut,1,
08-14-19,F,11,pdig,ambient,litt_scut,0,
08-14-19,F,12,dig_pdig,ambient,litt_scut,0,
08-14-19,F,13,control,warm,litt_scut,0,
08-14-19,F,14,dig_pdig,ambient,litt_scut,0,
08-14-19,F,15,dig,ambient,litt_scut,0,
08-14-19,F,16,dig,warm,litt_scut,1,
08-14-19,A,1,dig,warm,litt_sit,0,
08-14-19,A,2,dig_pdig,ambient,litt_sit,0,
08-14-19,A,3,pdig,warm,litt_sit,0,
08-14-19,A,4,dig_pdig,warm,litt_sit,0,
08-14-19,A,5,dig_pdig,warm,litt_sit,0,
08-14-19,A,6,control,warm,litt_sit,0,
08-14-19,A,7,dig_pdig,ambient,litt_sit,0,
08-14-19,A,8,control,ambient,litt_sit,0,
08-14-19,A,9,dig,ambient,litt_sit,0,
08-14-19,A,10,control,warm,litt_sit,0,
08-14-19,A,11,pdig,ambient,litt_sit,0,
08-14-19,A,12,dig,ambient,litt_sit,0,
08-14-19,A,13,control,ambient,litt_sit,0,
08-14-19,A,14,dig,warm,litt_sit,0,
08-14-19,A,15,pdig,warm,litt_sit,0,
08-14-19,A,16,pdig,ambient,litt_sit,0,
08-14-19,B,1,pdig,warm,litt_sit,0,
08-14-19,B,2,dig,warm,litt_sit,0,
08-14-19,B,3,control,ambient,litt_sit,0,
08-14-19,B,4,pdig,ambient,litt_sit,0,
08-14-19,B,5,dig_pdig,ambient,litt_sit,0,
08-14-19,B,6,pdig,warm,litt_sit,0,
08-14-19,B,7,control,warm,litt_sit,0,
08-14-19,B,8,dig_pdig,warm,litt_sit,0,
08-14-19,B,9,dig,ambient,litt_sit,0,
08-14-19,B,10,pdig,warm,litt_sit,0,
08-14-19,B,11,dig,ambient,litt_sit,0,
08-14-19,B,12,control,warm,litt_sit,0,
08-14-19,B,13,dig,warm,litt_sit,0,
08-14-19,B,14,dig_pdig,ambient,litt_sit,1,
08-14-19,B,15,dig,ambient,litt_sit,0,
08-14-19,B,16,dig_pdig,warm,litt_sit,0,
08-14-19,C,1,dig_pdig,warm,litt_sit,0,
08-14-19,C,2,dig,ambient,litt_sit,0,
08-14-19,C,3,dig_pdig,ambient,litt_sit,0,
08-14-19,C,4,pdig,warm,litt_sit,0,
08-14-19,C,5,pdig,ambient,litt_sit,0,
08-14-19,C,6,pdig,warm,litt_sit,0,
08-14-19,C,7,dig,warm,litt_sit,0,
08-14-19,C,8,control,warm,litt_sit,0,
08-14-19,C,9,dig_pdig,ambient,litt_sit,0,
08-14-19,C,10,dig_pdig,warm,litt_sit,0,
08-14-19,C,11,dig,warm,litt_sit,0,
08-14-19,C,12,control,warm,litt_sit,0,
08-14-19,C,13,control,ambient,litt_sit,0,
08-14-19,C,14,dig,ambient,litt_sit,0,
08-14-19,C,15,pdig,ambient,litt_sit,0,
08-14-19,C,16,control,ambient,litt_sit,0,
08-14-19,D,1,dig_pdig,ambient,litt_sit,0,
08-14-19,D,2,control,ambient,litt_sit,0,
08-14-19,D,3,control,ambient,litt_sit,0,
08-14-19,D,4,dig_pdig,ambient,litt_sit,0,
08-14-19,D,5,dig,warm,litt_sit,0,
08-14-19,D,6,pdig,ambient,litt_sit,0,
08-14-19,D,7,dig,warm,litt_sit,0,
08-14-19,D,8,dig_pdig,warm,litt_sit,0,
08-14-19,D,9,dig_pdig,warm,litt_sit,0,
08-14-19,D,10,pdig,warm,litt_sit,0,
08-14-19,D,11,control,ambient,litt_sit,0,
08-14-19,D,12,pdig,ambeint,litt_sit,0,
08-14-19,D,13,dig,ambient,litt_sit,0,
08-14-19,D,14,dig,warm,litt_sit,0,
08-14-19,D,15,control,warm,litt_sit,0,
08-14-19,D,16,pdig,warm,litt_sit,0,
08-14-19,E,1,control,warm,litt_sit,0,
08-14-19,E,2,pdig,ambient,litt_sit,0,
08-14-19,E,3,dig_pdig,warm,litt_sit,0,
08-14-19,E,4,pdig,warm,litt_sit,0,
08-14-19,E,5,control,ambient,litt_sit,0,
08-14-19,E,6,dig,warm,litt_sit,0,
08-14-19,E,7,pdig,warm,litt_sit,0,
08-14-19,E,8,control,ambient,litt_sit,0,
08-14-19,E,9,dig_pdig,ambient,litt_sit,0,
08-14-19,E,10,dig,ambient,litt_sit,0,
08-14-19,E,11,control,warm,litt_sit,0,
08-14-19,E,12,dig,ambient,litt_sit,0,
08-14-19,E,13,dig_pdig,ambient,litt_sit,0,
08-14-19,E,14,pdig,ambient,litt_sit,0,
08-14-19,E,15,dig_pdig,warm,litt_sit,0,
08-14-19,E,16,dig,warm,litt_sit,0,
08-14-19,F,1,control,warm,litt_sit,0,
08-14-19,F,2,pdig,warm,litt_sit,0,
08-14-19,F,3,control,ambient,litt_sit,0,
08-14-19,F,4,pdig,ambient,litt_sit,0,
08-14-19,F,5,dig_pdig,warm,litt_sit,0,
08-14-19,F,6,pdig,warm,litt_sit,0,
08-14-19,F,7,control,ambient,litt_sit,0,
08-14-19,F,8,dig,warm,litt_sit,0,
08-14-19,F,9,dig,ambient,litt_sit,0,
08-14-19,F,10,dig_pdig,warm,litt_sit,0,
08-14-19,F,11,pdig,ambient,litt_sit,0,
08-14-19,F,12,dig_pdig,ambient,litt_sit,0,
08-14-19,F,13,control,warm,litt_sit,0,
08-14-19,F,14,dig_pdig,ambient,litt_sit,0,
08-14-19,F,15,dig,ambient,litt_sit,0,
08-14-19,F,16,dig,warm,litt_sit,0,
